IP	amount	as	city	country	countryCode	isp	lat	lon	org	query	region	regionName	status	timezone	zip
85.217.230.109	149	AS34368 Natskovi & Sie Ltd.	Svishtov	Bulgaria	BG	TheZone Ltd. (BG)	43.6231	25.3539	Neterra Ltd.	85.217.230.109	04	Oblast Veliko Tarnovo	success	Europe/Sofia	5250
103.248.122.147	148	AS58906 Shivansh Infotech pvt Ltd	Dehradun	India	IN	Shivansh Infotech pvt (IN)	30.3229	78.0317	Shivansh Infotech pvt	103.248.122.147	UT	Uttarakhand	success	Asia/Kolkata	248001
121.161.173.225	148	AS4766 Korea Telecom	Seoul	Republic of Korea	KR	Korea Telecom (KR)	37.5111	126.9743	Korea Telecom	121.161.173.225	11	Seoul	success	Asia/Seoul	
211.196.74.158	147	AS4766 Korea Telecom	Seoul	Republic of Korea	KR	Korea Telecom (KR)	37.5111	126.9743	Korea Telecom	211.196.74.158	11	Seoul	success	Asia/Seoul	
187.245.173.172	147	AS13999 Mega Cable, S.A. de C.V.	Guadalajara	Mexico	MX	Mega Cable, S.A. de C.V. (MX)	20.6667	-103.3333	Mega Cable, S.A. de C.V.	187.245.173.172	JAL	Jalisco	success	America/Mexico_City	44130
85.30.204.135	147	AS42610 PJSC Rostelecom	Moscow	Russia	RU	Rostelecom (RU)	55.7522	37.6156	National Cable Networks	85.30.204.135	MOW	Moscow	success	Europe/Moscow	129226
177.18.28.94	146	AS18881 TELEFÔNICA BRASIL S.A	Brasília	Brazil	BR	Vivo (BR)	-15.7833	-47.9167	Vivo	177.18.28.94	DF	Federal District	success	America/Sao_Paulo	
190.140.110.58	145	AS18809 Cable Onda	Panama City	Panama	PA	Cable Onda (PA)	8.9936	-79.5197	Cable Onda	190.140.110.58	8	Provincia de Panama	success	America/Panama	
197.249.65.86	144	AS25139 Comunicacoes Multimedia, Lda.	Beira	Mozambique	MZ	TVCabo Mozambique (MZ)	-19.8436	34.8389	TVCabo Mozambique	197.249.65.86	S	Sofala Province	success	Africa/Maputo	
115.79.87.113	144	AS7552 Viettel Corporation	Phong Dien	Vietnam	VN	Viettel Corporation (VN)	9.9917	105.67	Viettel Corporation	115.79.87.113	CT	Thanh Pho Can Tho	success	Asia/Ho_Chi_Minh	
190.29.119.157	144	AS13489 EPM Telecomunicaciones S.A. E.S.P.	Medellín	Colombia	CO	UNE (CO)	6.2518	-75.5636	UNE	190.29.119.157	ANT	Antioquia	success	America/Bogota	
220.134.30.126	144	AS3462 Data Communication Business Group	Daxi	Taiwan	TW	HiNet (TW)	24.9869	121.3056	HiNet	220.134.30.126	TAO	Taoyuan	success	Asia/Taipei	
112.168.226.132	143	AS4766 Korea Telecom	Seoul	Republic of Korea	KR	Korea Telecom (KR)	37.5111	126.9743	Korea Telecom	112.168.226.132	11	Seoul	success	Asia/Seoul	
189.123.71.227	143	AS28573 CLARO S.A.	Ribeirão Preto	Brazil	BR	NET Virtua (BR)	-21.1794	-47.7999	NET Virtua	189.123.71.227	SP	Sao Paulo	success	America/Sao_Paulo	
118.232.60.133	143	AS9924 Taiwan Fixed Network, Telco and Network Service Provider.	Taichung	Taiwan	TW	Tung Ho Multimedia Co. (TW)	24.1433	120.6814	Taiwan Fixed Network, Telco and Network Service Pr	118.232.60.133	TXG	Taichung City	success	Asia/Taipei	
46.102.82.140	143	AS6910 Digital Cable Systems S.A.	Galați	Romania	RO	Digital Cable Systems SA (RO)	45.4062	27.9619	Digital Cable Systems SA	46.102.82.140	GL	Judetul Galati	success	Europe/Bucharest	807295
76.26.78.207	143	AS7922 Comcast Cable Communications, LLC	Huntington	United States	US	Comcast Cable (US)	38.4034	-82.3577	Comcast Cable	76.26.78.207	WV	West Virginia	success	America/New_York	25705
200.58.144.250	143	AS19422 Telefonica Moviles del Uruguay SA	Montevideo	Uruguay	UY	Telefonica Moviles del Uruguay SA (UY)	-34.8581	-56.1708	Teyma Colonia	200.58.144.250	MO	Departamento de Montevideo	success	America/Montevideo	
189.121.18.122	143	AS28573 CLARO S.A.	São Paulo	Brazil	BR	NET Virtua (BR)	-23.5733	-46.6417	NET Virtua	189.121.18.122	SP	Sao Paulo	success	America/Sao_Paulo	
46.42.22.243	143	AS44507 OJSC Kostroma Municipal Telephone Network	Kostroma	Russia	RU	OJSC Kostroma Municipal Telephone Network (RU)	57.7708	40.9344	OAO KGTS ADSL/HFE Users	46.42.22.243	KOS	Kostromskaya Oblast'	success	Europe/Moscow	156000
175.213.86.95	143	AS4766 Korea Telecom	Seoul	Republic of Korea	KR	Korea Telecom (KR)	37.5111	126.9743	Korea Telecom	175.213.86.95	11	Seoul	success	Asia/Seoul	
82.81.31.101	143	AS8551 Bezeq International	Or Yehuda	Israel	IL	Bezeq International (IL)	32.0311	34.8458	Bezeq International	82.81.31.101	TA	Tel Aviv	success	Asia/Jerusalem	
177.225.147.47	142		Torreón	Mexico	MX	Mega Cable, S.A. de C.V. (MX)	25.55	-103.4333	Mega Cable, S.A. de C.V.	177.225.147.47	COA	Coahuila	success	America/Monterrey	27000
206.125.78.160	142	AS13868 Peak Internet, LLC	Waldport	United States	US	Peak Internet, LLC (US)	44.4566	-123.9414	Peak Internet, LLC	206.125.78.160	OR	Oregon	success	America/Los_Angeles	97394
31.0.198.32	142	AS8374 Polkomtel Sp. z o.o.	Osielsko	Poland	PL	Polkomtel Sp. z o.o. (PL)	53.1847	18.0839	Polkomtel Sp. z o.o.	31.0.198.32	KP	Kujawsko-Pomorskie	success	Europe/Warsaw	86-031
121.139.251.219	141	AS4766 Korea Telecom	Seoul	Republic of Korea	KR	Korea Telecom (KR)	37.5111	126.9743	Korea Telecom	121.139.251.219	11	Seoul	success	Asia/Seoul	
122.117.59.94	141	AS3462 Data Communication Business Group	Taichung	Taiwan	TW	HiNet (TW)	24.1433	120.6814	HiNet	122.117.59.94	TXG	Taichung City	success	Asia/Taipei	
106.240.146.11	141	AS3786 LG DACOM Corporation	Seoul	Republic of Korea	KR	LG DACOM Corporation (KR)	37.5111	126.9743	LG DACOM Corporation	106.240.146.11	11	Seoul	success	Asia/Seoul	
200.230.204.225	141	AS4230 CLARO S.A.	São Paulo	Brazil	BR	Claro S.A. (BR)	-23.5733	-46.6417	Claro S.A.	200.230.204.225	SP	Sao Paulo	success	America/Sao_Paulo	
81.213.104.100	141	AS9121 Turk Telekom	Istanbul	Turkey	TR	Turk Telekom (TR)	41.0214	28.9684	Turk Telekom	81.213.104.100	34	Istanbul	success	Europe/Istanbul	
5.97.195.101	140	AS3269 Telecom Italia	Gioiosa Ionica	Italy	IT	Telecom Italia Business (IT)	38.3272	16.3041	Telecom Italia Business	5.97.195.101	78	Calabria	success	Europe/Rome	89042
115.79.99.52	140	AS7552 Viettel Corporation	Ap Thanh Tri	Vietnam	VN	Viettel Corporation (VN)	9.9131	105.2717	Viettel Corporation	115.79.99.52	47	Tinh Kien Giang	success	Asia/Ho_Chi_Minh	
46.171.33.157	140	AS5617 Orange Polska Spolka Akcyjna	Krakow	Poland	PL	Orange Polska (PL)	50.0833	19.9167	Orange Polska	46.171.33.157	MA	Lesser Poland Voivodeship	success	Europe/Warsaw	31-419
122.5.105.144	140	AS4134 Chinanet	Zibo	China	CN	China Telecom Shandong (CN)	36.7906	118.0633	China Telecom Shandong	122.5.105.144	37	Shandong	success	Asia/Shanghai	
121.169.114.134	140	AS4766 Korea Telecom	Seoul	Republic of Korea	KR	Korea Telecom (KR)	37.5111	126.9743	Korea Telecom	121.169.114.134	11	Seoul	success	Asia/Seoul	
87.111.84.71	140	AS15732 Iberbanda S.A.	Vilamolat de Mur	Spain	ES	Iberbanda S.A. (ES)	42.1226	0.8391	Iberbanda S.A.	87.111.84.71	CT	Catalonia	success	Europe/Madrid	25632
59.30.218.239	140	AS4766 Korea Telecom	Sokcho	Republic of Korea	KR	Korea Telecom (KR)	38.2083	128.5911	Korea Telecom	59.30.218.239	42	Gangwon-do	success	Asia/Seoul	
86.124.79.149	140	AS8708 RCS & RDS	Bucharest	Romania	RO	RCS & RDS (RO)	44.4333	26.1	RCS & RDS Business	86.124.79.149	B	Bucuresti	success	Europe/Bucharest	001553
121.149.176.145	140	AS4766 Korea Telecom	Yeosu	Republic of Korea	KR	Korea Telecom (KR)	37.0244	126.9608	Korea Telecom	121.149.176.145	41	Gyeonggi-do	success	Asia/Seoul	
121.185.157.13	140	AS4766 Korea Telecom	Hwaseong-si	Republic of Korea	KR	Korea Telecom (KR)	37.2068	126.8169	Korea Telecom	121.185.157.13	41	Gyeonggi-do	success	Asia/Seoul	
121.65.104.22	139	AS3786 LG DACOM Corporation	Seoul	Republic of Korea	KR	LG DACOM Corporation (KR)	37.5111	126.9743	LG DACOM Corporation	121.65.104.22	11	Seoul	success	Asia/Seoul	
220.132.91.105	139	AS3462 Data Communication Business Group	Taipei	Taiwan	TW	HiNet (TW)	25.0418	121.4966	HiNet	220.132.91.105			success	Asia/Taipei	
5.19.165.124	139	AS41733 Perspectiva Ltd.	Saint Petersburg	Russia	RU	JSC ER-Telecom Holding (RU)	59.885	29.8958	Z-Telecom network	5.19.165.124	SPE	St.-Petersburg	success	Europe/Moscow	198332
112.165.189.128	139	AS4766 Korea Telecom	Seongnam-si (Buljeong-ro)	Republic of Korea	KR	Korea Telecom (KR)	37.3638	127.12200000000001	Korea Telecom	112.165.189.128		Gyeonggi-do	success	Asia/Seoul	
75.99.68.51	139	AS6128 Cablevision Systems Corp.	Bay Shore	United States	US	Optimum Online (US)	40.7338	-73.2652	Optimum Online	75.99.68.51	NY	New York	success	America/New_York	11706
111.39.107.10	139	AS9808 Guangdong Mobile Communication Co.Ltd.	Chuzhou	China	CN	China Mobile Guangdong (CN)	32.3219	118.2978	China Mobile Guangdong	111.39.107.10	34	Anhui	success	Asia/Shanghai	
121.154.66.168	139	AS4766 Korea Telecom	Jeonju	Republic of Korea	KR	Korea Telecom (KR)	35.8219	127.1489	Korea Telecom	121.154.66.168	45	Jeollabuk-do	success	Asia/Seoul	
190.165.180.56	139	AS13489 EPM Telecomunicaciones S.A. E.S.P.	Medellín	Colombia	CO	UNE (CO)	6.2518	-75.5636	UNE	190.165.180.56	ANT	Antioquia	success	America/Bogota	
59.127.141.92	139	AS3462 Data Communication Business Group	Chiayi City	Taiwan	TW	HiNet (TW)	23.4792	120.4489	HiNet	59.127.141.92	CYI	Chiayi	success	Asia/Taipei	
46.214.165.107	139	AS48161 Nextgen Communications Srl	Bistriţa	Romania	RO	Nextgen Communications Srl (RO)	47.1419	24.499000000000002	SC NextGen Communications SRL	46.214.165.107	BN	Judetul Bistrita-Nasaud	success	Europe/Bucharest	420006
14.48.161.124	139	AS4766 Korea Telecom	Gwangju	Republic of Korea	KR	Korea Telecom (KR)	35.1547	126.9156	Korea Telecom	14.48.161.124	29	Gwangju	success	Asia/Seoul	
116.99.175.60	139	AS24086 Viettel Corporation	Da Nang	Vietnam	VN	Viettel Corporation (VN)	16.0678	108.2208	Viettel Corporation	116.99.175.60	DN	Thanh Pho GJa Nang	success	Asia/Ho_Chi_Minh	
71.16.133.101	139	AS7029 Windstream Communications Inc	Miami	United States	US	Windstream Communications (US)	25.7806	-80.1826	Continental Hotel Bayside	71.16.133.101	FL	Florida	success	America/New_York	33132
213.254.131.180	138	AS34984 Tellcom Iletisim Hizmetleri A.s.	Istanbul	Turkey	TR	Turkcell Superonline (TR)	41.0214	28.9684	Turkcell Superonline	213.254.131.180	34	Istanbul	success	Europe/Istanbul	
91.144.143.205	138	AS41668 JSC ER-Telecom Holding	Kazan’	Russia	RU	JSC ER-Telecom Holding (RU)	55.7679	49.1631	JSC ER-Telecom Holding Kazan' Branch	91.144.143.205	TA	Tatarstan	success	Europe/Moscow	422528
82.17.49.31	138	AS5089 Virgin Media Limited	Leicester	United Kingdom	GB	Virgin Media (GB)	52.6184	-1.179	Virgin Media	82.17.49.31	ENG	England	success	Europe/London	LE3
195.9.139.202	138	AS25513 OJS Moscow city telephone network	Moscow	Russia	RU	OJS Moscow city telephone network (RU)	55.7485	37.6184	OJS Moscow city telephone network	195.9.139.202	MOW	Moscow	success	Europe/Moscow	101194
78.29.79.187	138	AS12389 PJSC Rostelecom	Saratov	Russia	RU	Rostelecom (RU)	51.5406	46.0086	Network of Saratov branch of OJSC Volgatelecom	78.29.79.187	SAR	Saratovskaya Oblast'	success	Europe/Volgograd	410000
111.185.237.178	137	AS9416 Hoshin Multimedia Center Inc.	Kaohsiung City	Taiwan	TW	Hoshin Multimedia Center (TW)	22.6333	120.35	Hoshin Multimedia Center	111.185.237.178	KHH	Kaohsiung	success	Asia/Taipei	
220.88.89.118	137	AS4766 Korea Telecom	Seoul	Republic of Korea	KR	Korea Telecom (KR)	37.5111	126.9743	Korea Telecom	220.88.89.118	11	Seoul	success	Asia/Seoul	
123.0.243.219	137	AS131596 TBC	Daxi	Taiwan	TW	TBC (TW)	24.9869	121.3056	TBC	123.0.243.219	TAO	Taoyuan	success	Asia/Taipei	
212.174.30.191	137	AS9121 Turk Telekom	Ankara	Turkey	TR	Turk Telekom (TR)	39.9117	32.8403	Turk Telekom	212.174.30.191	06	Ankara	success	Europe/Istanbul	
106.51.225.229	137	AS24309 Atria Convergence Technologies Pvt. Ltd. Broadband Internet Service Provider INDIA	Bengaluru	India	IN	Atria Convergence Technologies Pvt. Ltd. (IN)	12.9833	77.5833	Atria Convergence Technologies Pvt. Ltd. Broadband	106.51.225.229	KA	Karnataka	success	Asia/Kolkata	
91.233.112.215	137	AS57608 Anna Jaworska trading as dg-net.pl	Dąbrowa Górnicza	Poland	PL	Anna Jaworska trading as dg-net.pl (PL)	50.3333	19.2	Anna Jaworska trading as dg-net.pl	91.233.112.215	SL	Silesia	success	Europe/Warsaw	41-303
5.141.176.90	137	AS3239 PJSC Rostelecom	Chelyabinsk	Russia	RU	Rostelecom (RU)	55.153999999999996	61.4291	OJSC Rostelecom, regional branch Urals	5.141.176.90	CHE	Chelyabinsk	success	Asia/Yekaterinburg	454002
91.192.132.80	137	AS34579 Soyuz LTD	Zaporizhia	Ukraine	UA	Soyuz LTD (UA)	47.85	35.2833	Soyuz LTD	91.192.132.80	23	Zaporizhia	success	Europe/Zaporozhye	
78.188.129.231	137	AS9121 Turk Telekom	Istanbul	Turkey	TR	Turk Telekom (TR)	41.0214	28.9684	Turk Telekom	78.188.129.231	34	Istanbul	success	Europe/Istanbul	
122.116.117.170	137	AS3462 Data Communication Business Group	Taipei	Taiwan	TW	HiNet (TW)	25.0418	121.4966	HiNet	122.116.117.170			success	Asia/Taipei	
177.193.128.236	137	AS28573 CLARO S.A.	Cuiabá	Brazil	BR	NET Virtua (BR)	-15.595999999999998	-56.097	NET Virtua	177.193.128.236	MT	Mato Grosso	success	America/Cuiaba	
175.136.222.229	137	AS4788 TM Net, Internet Service Provider	Klang	Malaysia	MY	TM Net (MY)	3.0232	101.4621	TM Net	175.136.222.229	10	Selangor	success	Asia/Kuala_Lumpur	41200
179.198.255.66	137	AS7738 Telemar Norte Leste S.A.	Rio de Janeiro	Brazil	BR	Oi Velox (BR)	-22.8864	-43.2037	Oi Velox	179.198.255.66	RJ	Rio de Janeiro	success	America/Sao_Paulo	
97.77.244.130	136	AS11427 Time Warner Cable Internet LLC	Waco	United States	US	Time Warner Cable (US)	31.5373	-97.1884	Time Warner Cable	97.77.244.130	TX	Texas	success	America/Chicago	76710
5.2.211.121	136	AS8708 RCS & RDS	Constanța	Romania	RO	RCS & RDS (RO)	44.1833	28.65	RCS & RDS	5.2.211.121	CT	Constanta	success	Europe/Bucharest	
82.80.62.249	136	AS8551 Bezeq International	Tel Aviv	Israel	IL	Bezeq International (IL)	32.0666	34.765	Bezeq International	82.80.62.249	TA	Tel Aviv	success	Asia/Jerusalem	
210.121.236.216	136	AS4766 Korea Telecom	Ansan-si	Republic of Korea	KR	Korea Telecom (KR)	37.3236	126.8219	Korea Telecom	210.121.236.216	41	Gyeonggi-do	success	Asia/Seoul	
78.186.136.18	136	AS9121 Turk Telekom	Istanbul	Turkey	TR	Turk Telekom (TR)	41.0214	28.9684	Turk Telekom	78.186.136.18	34	Istanbul	success	Europe/Istanbul	
116.118.15.9	136	AS7602 Saigon Postel Corporation	Thanh Nguyen	Vietnam	VN	Saigon Postel Corporation (VN)	9.8478	106.3456	Saigon Postel Corporation	116.118.15.9	51	Tinh Tra Vinh	success	Asia/Ho_Chi_Minh	
200.29.98.211	136	AS10299 EMPRESAS MUNICIPALES DE CALI E.I.C.E. E.S.P.	Santiago de Cali	Colombia	CO	Empresas Municipales De Cali E.i.c.e. E.s.p. (CO)	3.4372	-76.5225	Empresas Municipales De Cali E.i.c.e. E.s.p.	200.29.98.211	VAC	Departamento del Valle del Cauca	success	America/Bogota	
176.96.197.39	136	AS49029 Prolink LLC	Borodyanka	Ukraine	UA	Prolink LLC (UA)	50.6448	29.9201	Prolink LLC	176.96.197.39	32	Kyiv Oblast	success	Europe/Kiev	
124.105.55.199	136	AS9299 Philippine Long Distance Telephone Company	Manila	Philippines	PH	Philippine Long Distance Telephone (PH)	14.6042	120.9822	Philippine Long Distance Telephone	124.105.55.199	00	National Capital Region	success	Asia/Manila	96440
78.188.179.207	136	AS9121 Turk Telekom	Istanbul	Turkey	TR	Turk Telekom (TR)	41.0214	28.9684	Turk Telekom	78.188.179.207	34	Istanbul	success	Europe/Istanbul	
205.209.239.5	136	AS13693 NTS Communications	Levelland	United States	US	NTS Communications (US)	33.6067	-102.3872	NTS Communications	205.209.239.5	TX	Texas	success	America/Chicago	79336
200.126.183.119	136	AS10481 Prima S.A.	Buenos Aires	Argentina	AR	Cablevision S.A. (AR)	-34.6033	-58.3816	Cablevision S.A.	200.126.183.119	C	Buenos Aires F.D.	success	America/Argentina/Buenos_Aires	34034
61.239.124.131	136	AS9269 Hong Kong Broadband Network Ltd.	Central District	Hong Kong	HK	Hong Kong Broadband Network (HK)	22.291	114.15	Hong Kong Broadband Network	61.239.124.131			success	Asia/Hong_Kong	
195.29.163.204	136	AS5391 Hrvatski Telekom d.d.	Zagreb	Croatia	HR	T-Mobile Croatia (HR)	45.8	16.0	T-Mobile Croatia	195.29.163.204	21	City of Zagreb	success	Europe/Zagreb	
221.121.41.105	136	AS7602 Saigon Postel Corporation	Bien Hoa	Vietnam	VN	Saigon Postel Corporation (VN)	10.95	106.8167	Saigon Postel Corporation	221.121.41.105	39	Tinh GJong Nai	success	Asia/Ho_Chi_Minh	
121.128.130.92	136	AS4766 Korea Telecom	Seoul	Republic of Korea	KR	Korea Telecom (KR)	37.5111	126.9743	Korea Telecom	121.128.130.92	11	Seoul	success	Asia/Seoul	
118.233.56.56	136	AS38841 kbro CO. Ltd.	Hengchun	Taiwan	TW	Tung Ho Multimedia Co. (TW)	22.0036	120.7447	kbro CO.	118.233.56.56	PIF	Pingtung	success	Asia/Taipei	
221.154.68.198	135	AS4766 Korea Telecom	Incheon	Republic of Korea	KR	Korea Telecom (KR)	37.4536	126.7317	Korea Telecom	221.154.68.198	28	Incheon	success	Asia/Seoul	
210.213.207.198	135	AS9299 Philippine Long Distance Telephone Company	Manila	Philippines	PH	Philippine Long Distance Telephone (PH)	14.6042	120.9822	Philippine Long Distance Telephone	210.213.207.198	00	National Capital Region	success	Asia/Manila	96440
85.105.233.184	135	AS9121 Turk Telekom	Istanbul	Turkey	TR	Turk Telekom (TR)	41.0214	28.9684	Turk Telekom	85.105.233.184	34	Istanbul	success	Europe/Istanbul	
85.105.215.69	135	AS9121 Turk Telekom	Istanbul	Turkey	TR	Turk Telekom (TR)	41.0214	28.9684	Turk Telekom	85.105.215.69	34	Istanbul	success	Europe/Istanbul	
83.169.197.188	135	AS31133 PJSC MegaFon	Miasskoye	Russia	RU	PJSC MegaFon (RU)	55.2797	61.8986	PJSC MegaFon	83.169.197.188	CHE	Chelyabinsk	success	Asia/Yekaterinburg	456660
92.82.171.33	135	AS9050 Telekom Romania Communication S.A	Bucharest (Sector 1)	Romania	RO	Telekom Romania Communication S.A (RO)	44.4991	26.0646	Romtelecom Data Network	92.82.171.33		Bucureşti	success	Europe/Bucharest	
89.122.111.49	135	AS9050 Telekom Romania Communication S.A	Craiova	Romania	RO	Telekom Romania Communication S.A (RO)	44.3167	23.8	Romtelecom Data Network	89.122.111.49	DJ	Dolj	success	Europe/Bucharest	200003
47.18.178.253	135	AS6128 Cablevision Systems Corp.	Brooklyn	United States	US	Optimum Online (US)	40.6201	-73.9868	Optimum Online	47.18.178.253	NY	New York	success	America/New_York	11204
195.182.193.203	135	AS39399 Private Enterprise Firma Fenix VT	Chernivtsi	Ukraine	UA	Private Enterprise Firma Fenix VT (UA)	48.2915	25.9403	Private Enterprise Firma Fenix VT	195.182.193.203	77	Chernivtsi	success	Europe/Kiev	
93.123.124.105	135	AS44851 Retel JSC	Sofia	Bulgaria	BG	Neterra Ltd. (BG)	42.6731	23.3528	Retel Jsc.	93.123.124.105	22	Sofia-Capital	success	Europe/Sofia	
92.27.237.239	135	AS13285 TalkTalk	Newton Abbot	United Kingdom	GB	TalkTalk (GB)	50.5333	-3.6	TalkTalk	92.27.237.239	ENG	England	success	Europe/London	TQ12
189.19.192.147	135	AS27699 TELEFÔNICA BRASIL S.A	Sao Jose do Rio Preto	Brazil	BR	Vivo (BR)	-20.8104	-49.3809	Vivo	189.19.192.147	SP	Sao Paulo	success	America/Sao_Paulo	
213.248.189.242	135	AS8386 Vodafone Net Iletisim Hizmetleri Anonim Sirketi	Izmir	Turkey	TR	Vodafone NET Iletisim Hizmetleri A.S. (TR)	38.4127	27.1384	Vodafone NET Iletisim Hizmetleri A.S.	213.248.189.242	35	Izmir	success	Europe/Istanbul	
190.64.71.26	135	AS6057 Administracion Nacional de Telecomunicaciones	Montevideo	Uruguay	UY	Administracion Nacional de Telecomunicaciones (UY)	-34.8581	-56.1708	Administracion Nacional de Telecomunicaciones	190.64.71.26	MO	Departamento de Montevideo	success	America/Montevideo	
89.165.48.158	135	AS39501 Neda Gostar Saba Data Transfer Company Private Joint Stock	Karaj	Iran	IR	Neda Gostar Saba Data Transfer Company Private Joi (IR)	35.8355	51.0103	Sabanet network in Karaj	89.165.48.158	32	Alborz	success	Asia/Tehran	
117.193.244.226	135	AS9829 National Internet Backbone	Chennai	India	IN	BSNL (IN)	13.0833	80.2833	BSNL	117.193.244.226	TN	Tamil Nadu	success	Asia/Kolkata	600102
86.122.156.142	135	AS8708 RCS & RDS	Craiova	Romania	RO	RCS & RDS (RO)	44.3167	23.8	RCS & RDS Residential	86.122.156.142	DJ	Dolj	success	Europe/Bucharest	200003
122.116.242.173	134	AS3462 Data Communication Business Group	Hualien City	Taiwan	TW	HiNet (TW)	23.9833	121.6	HiNet	122.116.242.173	HUA	Hualien	success	Asia/Taipei	
78.88.192.62	134	AS29314 Vectra S.A.	Oświęcim	Poland	PL	Vectra Broadband (PL)	50.0333	19.2333	Vectra Broadband	78.88.192.62	MA	Lesser Poland Voivodeship	success	Europe/Warsaw	32-600
46.99.153.73	134	AS21246 IPKO Telecommunications LLC	Pristina (Industrial Zone)	Kosovo	XK	IPKO Telecommunications LLC (XK)	42.6462	21.123	IPKO Telecommunications LLC	46.99.153.73		Pristina	success	Europe/Belgrade	
125.227.226.15	134	AS3462 Data Communication Business Group	Kaohsiung City	Taiwan	TW	HiNet (TW)	22.6333	120.35	HiNet	125.227.226.15	KHH	Kaohsiung	success	Asia/Taipei	
151.250.206.231	134	AS34984 Tellcom Iletisim Hizmetleri A.s.	Istanbul	Turkey	TR	Tellcom Iletisim Hizmetleri A.s. (TR)	41.0695	29.0044	Tellcom Iletisim Hizmetleri A.s.	151.250.206.231	34	Istanbul	success	Europe/Istanbul	
194.90.129.41	134	AS1680 013 NetVision Ltd	Haifa	Israel	IL	013 NetVision (IL)	32.794000000000004	34.9896	013 NetVision	194.90.129.41	HA	Haifa	success	Asia/Jerusalem	
119.93.83.221	134	AS9299 Philippine Long Distance Telephone Company	Pasig	Philippines	PH	Philippine Long Distance Telephone (PH)	14.5604	121.0812	Philippine Long Distance Telephone	119.93.83.221	00	National Capital Region	success	Asia/Manila	1602
119.92.153.119	134	AS9299 Philippine Long Distance Telephone Company	Pasig	Philippines	PH	Philippine Long Distance Telephone (PH)	14.5604	121.0812	Philippine Long Distance Telephone	119.92.153.119	00	National Capital Region	success	Asia/Manila	1602
1.34.194.187	134	AS3462 Data Communication Business Group	Taipei	Taiwan	TW	HiNet (TW)	25.0418	121.4966	HiNet	1.34.194.187			success	Asia/Taipei	
118.233.192.142	134	AS9924 Taiwan Fixed Network, Telco and Network Service Provider.	Taipei	Taiwan	TW	Tung Ho Multimedia Co. (TW)	25.0418	121.4966	Taiwan Fixed Network, Telco and Network Service Pr	118.233.192.142			success	Asia/Taipei	
188.168.22.136	134	AS12688 Closed Joint Stock Company TransTeleCom	Irkutsk	Russia	RU	Closed Joint Stock Company TransTeleCom (RU)	52.2978	104.2964	Closed Joint Stock Company TransTeleCom	188.168.22.136	IRK	Irkutskaya Oblast'	success	Asia/Irkutsk	664001
179.111.222.234	134	AS27699 TELEFÔNICA BRASIL S.A	São Paulo	Brazil	BR	Vivo (BR)	-23.5733	-46.6417	Vivo	179.111.222.234	SP	Sao Paulo	success	America/Sao_Paulo	
85.133.215.145	134	AS39074 Sepanta Communication Development Co. Ltd	Tehran	Iran	IR	Sepanta Communication Development Co. Ltd (IR)	35.6962	51.4229	Sepanta Communication Development Co. Ltd	85.133.215.145		Tehrān	success	Asia/Tehran	
78.222.238.136	134	AS12322 Free SAS	Meze	France	FR	Free SAS (FR)	43.4481	3.6578	Free SAS	78.222.238.136	OCC	Occitanie	success	Europe/Paris	34140
46.170.77.66	134	AS5617 Orange Polska Spolka Akcyjna	Gostyn	Poland	PL	Orange Polska (PL)	51.8833	17.0167	Orange Polska	46.170.77.66	WP	Greater Poland	success	Europe/Warsaw	63-800
177.131.113.95	134	AS262391 ACESSOLINE TELECOMUNICACOES LTDA	Aguas de Chapeco	Brazil	BR	Acessoline Telecomunicacoes Ltda (BR)	-27.0833	-52.9833	Acessoline Telecomunicacoes Ltda	177.131.113.95	SC	Santa Catarina	success	America/Sao_Paulo	
190.165.191.64	134	AS13489 EPM Telecomunicaciones S.A. E.S.P.	Medellín	Colombia	CO	UNE (CO)	6.2518	-75.5636	UNE	190.165.191.64	ANT	Antioquia	success	America/Bogota	
49.206.147.114	134	AS18209 Atria Convergence Technologies pvt ltd	Hyderabad	India	IN	Beam Telecom (IN)	17.3753	78.4744	Atria Convergence Technologies pvt	49.206.147.114	TG	Telangana	success	Asia/Kolkata	
185.47.160.137	133	AS47169 MVM NET Zrt.	Baja	Hungary	HU	V-T KOM Ipari,Kereskedelmi es Szolgaltato Kft (HU)	46.1833	18.9667	V-T KOM Ipari,Kereskedelmi es Szolgaltato Kft	185.47.160.137	BK	Bács-Kiskun	success	Europe/Budapest	6500
177.103.159.222	133	AS27699 TELEFÔNICA BRASIL S.A	Piracicaba	Brazil	BR	Vivo (BR)	-22.7274	-47.6448	Vivo	177.103.159.222	SP	Sao Paulo	success	America/Sao_Paulo	
78.186.130.19	133	AS9121 Turk Telekom	Istanbul	Turkey	TR	Turk Telekom (TR)	40.9614	29.0969	Turk Telekom	78.186.130.19	34	Istanbul	success	Europe/Istanbul	34742
179.156.104.218	133	AS28573 CLARO S.A.	Ribeirão Preto	Brazil	BR	NET Virtua (BR)	-21.1794	-47.7999	NET Virtua	179.156.104.218	SP	Sao Paulo	success	America/Sao_Paulo	
121.15.12.224	133	AS4134 Chinanet	Shenzhen	China	CN	China Telecom Guangdong (CN)	22.5333	114.1333	China Telecom Guangdong	121.15.12.224	44	Guangdong	success	Asia/Shanghai	
